customer_name,phone,address1,address2,city,state,postal_code,country,contact_last_name,contact_first_name,deal_size
Online Mini Collectables,(617) 555-7555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,Barajas,Miguel,Small
Auto-Moto Classics Inc.,(617) 555-8428,16780 Pompton St.,,Brickhaven,MA,58339,USA,Taylor,Leslie,Small
"Australian Collectables, Ltd",,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,Connery,Sean,Large
Collectable Mini Designs Co.,(760) 555-8146,361 Furth Circle,,San Diego,CA,91217,USA,Thompson,Valarie,Large
Microscale Inc.,(212) 555-1957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,Kuo,Kee,Small
Enaco Distributors,,"Rambla de Catalu§a, 23",,Barcelona,,8022,Spain,Saavedra,Eduardo,Small
"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,Lincoln,Elizabeth,Medium
Land of Toys Inc.,(212) 555-7818,897 Long Airport Avenue,,NYC,NY,10022,USA,Yu,Kwai,Large
"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,Ashworth,Victoria,Large
CAF Imports,,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,Fernandez,Jesus,Small
Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,Fresnisre,Jean,Small
Super Scale Inc.,(203) 555-9545,567 North Pendale Street,,New Haven,CT,97823,USA,Murphy,Leslie,Small
Microscale Inc.,(212) 555-1957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,Kuo,Kee,Large
Collectable Mini Designs Co.,(760) 555-8146,361 Furth Circle,,San Diego,CA,91217,USA,Thompson,Valarie,Small
Alpha Cognac,,1 rue Alsace-Lorraine,,Toulouse,,31000,France,Roulet,Annette,Small
Boards & Toys Co.,(310) 555-2373,4097 Douglas Av.,,Glendale,CA,92561,USA,Young,Leslie,Small
La Rochelle Gifts,,"67, rue des Cinquante Otages",,Nantes,,44000,France,Labrune,Janine,Large
Baane Mini Imports,,Erling Skakkes gate 78,,Stavern,,4110,Norway,Bergulfsen,Jonas,Large
FunGiftIdeas.com,(508) 555-2555,1785 First Street,,New Bedford,MA,50553,USA,Benitez,Violeta,Large
